Membership No  Date Joined  Active  
    12949      2017-12-8    no    
    94969      2020-10-14   no    
    53789      2017-12-5    no    
    15636      2020-5-13    no    
    45765      2016-1-2     yes   
    57889      2016-1-12    no    
    80305      2019-1-22    yes   
    26467      2016-11-16   no    
    48639      2016-10-18   no    
    84188      2020-12-7    no    
    51507      2018-5-17    no    
    54113      2017-3-8     no    
    81158      2016-2-18    no    
    45909      2020-10-9    no    
    56278      2019-9-19    yes   
    75189      2015-9-15    no    
    61758      2015-12-19   yes   
    10049      2018-8-4     yes   
    57335      2015-8-6     no    
    21022      2016-6-22    no    
