Membership No  Date Joined  Active  
    70434      2016-12-8    yes   
    23914      2019-1-23    no    
    10802      2019-11-9    yes   
    14378      2015-6-3     no    
    47163      2019-8-5     no    
    84492      2020-10-18   yes   
    60364      2020-1-19    yes   
    19130      2020-8-6     yes   
    45845      2019-4-20    yes   
    88948      2016-3-20    no    
    96156      2020-8-14    yes   
    96976      2020-2-6     no    
    91529      2016-6-15    no    
    86938      2015-6-17    no    
    91951      2020-8-2     no    
    27483      2016-10-6    yes   
    71733      2019-1-23    yes   
    76660      2016-11-19   yes   
    53946      2020-1-14    no    
    85071      2020-10-2    no    
